,Territorio,ETA1,Value
710,Provincia Autonoma Trento,Y32,5977
711,Friuli-Venezia Giulia,Y32,11537
712,Emilia-Romagna,Y32,46864
713,Toscana,Y32,37573
714,Umbria,Y32,9027
715,Marche,Y32,15373
716,Lazio,Y32,63408
717,Sicilia,Y32,57281
718,Sardegna,Y32,17404
719,Piemonte,Y32,43190
720,Abruzzo,Y32,14156
721,Molise,Y32,3428
722,Puglia,Y32,44564
723,Campania,Y32,69391
724,Basilicata,Y32,6418
725,Calabria,Y32,23467
726,Piemonte,Y33,43888
727,Valle d'Aosta / Vallée d'Aoste,Y33,1244
728,Liguria,Y33,14100
729,Lombardia,Y33,110118
730,Trentino Alto Adige / Südtirol,Y33,11923
731,Provincia Autonoma Bolzano / Bozen,Y33,6050
732,Provincia Autonoma Trento,Y33,5873
733,Veneto,Y33,50111
734,Friuli-Venezia Giulia,Y33,11856
735,Emilia-Romagna,Y33,47438
736,Toscana,Y33,37676
737,Umbria,Y33,9190
738,Marche,Y33,15931
739,Lazio,Y33,63823
740,Abruzzo,Y33,14547
741,Molise,Y33,3340
742,Campania,Y33,68832
743,Puglia,Y33,44199
744,Basilicata,Y33,6253
745,Calabria,Y33,23184
746,Sicilia,Y33,57332
747,Sardegna,Y33,17417
748,Emilia-Romagna,Y34,49328
749,Toscana,Y34,39462
750,Marche,Y34,16290
751,Lazio,Y34,66870
752,Abruzzo,Y34,14947
753,Molise,Y34,3438
754,Campania,Y34,70390
755,Piemonte,Y34,45113
756,Umbria,Y34,9496
757,Puglia,Y34,44234
758,Basilicata,Y34,6513
759,Calabria,Y34,23295
760,Sicilia,Y34,57824
761,Sardegna,Y34,18119
762,Trentino Alto Adige / Südtirol,Y34,12209
763,Valle d'Aosta / Vallée d'Aoste,Y34,1299
764,Provincia Autonoma Trento,Y34,6031
765,Liguria,Y34,14741
766,Friuli-Venezia Giulia,Y34,12394
767,Provincia Autonoma Bolzano / Bozen,Y34,6178
768,Lombardia,Y34,113852
769,Veneto,Y34,52727
770,Piemonte,Y35,45395
771,Valle d'Aosta / Vallée d'Aoste,Y35,1310
772,Liguria,Y35,14620
773,Lombardia,Y35,116544
774,Trentino Alto Adige / Südtirol,Y35,12264
775,Provincia Autonoma Bolzano / Bozen,Y35,6180
776,Provincia Autonoma Trento,Y35,6084
777,Veneto,Y35,52812
778,Friuli-Venezia Giulia,Y35,12598
779,Emilia-Romagna,Y35,50482
780,Toscana,Y35,40126
781,Umbria,Y35,9619
782,Marche,Y35,16481
783,Lazio,Y35,69063
784,Abruzzo,Y35,15232
785,Molise,Y35,3427
786,Campania,Y35,71437
787,Puglia,Y35,45872
788,Basilicata,Y35,6639
789,Calabria,Y35,23663
790,Sicilia,Y35,58992
791,Sardegna,Y35,18438
792,Piemonte,Y36,46805
793,Liguria,Y36,15011
794,Provincia Autonoma Trento,Y36,6273
795,Molise,Y36,3479
796,Campania,Y36,72005
797,Puglia,Y36,46187
798,Basilicata,Y36,6540
799,Calabria,Y36,23522
800,Sicilia,Y36,58231
801,Sardegna,Y36,18942
802,Valle d'Aosta / Vallée d'Aoste,Y36,1383
803,Lombardia,Y36,119588
804,Trentino Alto Adige / Südtirol,Y36,12629
805,Provincia Autonoma Bolzano / Bozen,Y36,6356
806,Veneto,Y36,53983
807,Friuli-Venezia Giulia,Y36,12650
808,Emilia-Romagna,Y36,51621
809,Toscana,Y36,41282
810,Umbria,Y36,10280
811,Marche,Y36,17006
812,Lazio,Y36,70605
